age,Death,Life,Gender
0,0.006081,76.22,Male
1,0.000425,75.69,Male
2,0.00026,74.72,Male
3,0.000194,73.74,Male
4,0.000154,72.76,Male
5,0.000142,71.77,Male
6,0.000135,70.78,Male
7,0.000127,69.79,Male
8,0.000116,68.79,Male
9,0.000104,67.8,Male
10,0.000097,66.81,Male
11,0.000106,65.82,Male
12,0.000144,64.82,Male
13,0.00022,63.83,Male
14,0.000323,62.85,Male
15,0.000437,61.87,Male
16,0.000552,60.89,Male
17,0.000675,59.93,Male
18,0.000806,58.97,Male
19,0.000939,58.01,Male
20,0.001079,57.07,Male
21,0.001215,56.13,Male
22,0.001327,55.2,Male
23,0.001406,54.27,Male
24,0.001461,53.35,Male
25,0.001507,52.42,Male
26,0.001557,51.5,Male
27,0.00161,50.58,Male
28,0.001668,49.66,Male
29,0.001732,48.74,Male
30,0.001795,47.83,Male
31,0.001858,46.91,Male
32,0.001923,46,Male
33,0.001992,45.09,Male
34,0.002064,44.18,Male
35,0.002145,43.27,Male
36,0.002231,42.36,Male
37,0.002316,41.45,Male
38,0.002398,40.55,Male
39,0.002482,39.64,Male
40,0.00258,38.74,Male
41,0.002697,37.84,Male
42,0.002828,36.94,Male
43,0.002976,36.04,Male
44,0.003146,35.15,Male
45,0.00334,34.26,Male
46,0.003567,33.37,Male
47,0.003833,32.49,Male
48,0.004143,31.61,Male
49,0.004499,30.74,Male
50,0.00489,29.88,Male
51,0.005321,29.02,Male
52,0.00581,28.18,Male
53,0.006363,27.34,Male
54,0.006973,26.51,Male
55,0.007629,25.69,Male
56,0.008322,24.89,Male
57,0.009049,24.09,Male
58,0.009806,23.31,Male
59,0.010595,22.53,Male
60,0.011452,21.77,Male
61,0.012358,21.01,Male
62,0.013255,20.27,Male
63,0.014126,19.54,Male
64,0.015006,18.81,Male
65,0.016001,18.09,Male
66,0.017124,17.37,Male
67,0.018298,16.67,Male
68,0.019519,15.97,Male
69,0.020847,15.28,Male
70,0.022381,14.59,Male
71,0.024185,13.91,Male
72,0.026266,13.25,Male
73,0.02866,12.59,Male
74,0.031401,11.95,Male
75,0.034618,11.32,Male
76,0.038263,10.71,Male
77,0.04219,10.11,Male
78,0.046367,9.54,Male
79,0.050948,8.97,Male
80,0.056237,8.43,Male
81,0.06236,7.9,Male
82,0.069226,7.39,Male
83,0.076884,6.91,Male
84,0.085452,6.44,Male
85,0.095062,6,Male
86,0.105829,5.57,Male
87,0.117838,5.17,Male
88,0.131138,4.8,Male
89,0.145751,4.45,Male
90,0.161678,4.12,Male
91,0.178905,3.82,Male
92,0.197408,3.54,Male
93,0.217149,3.29,Male
94,0.23808,3.06,Male
95,0.258821,2.86,Male
96,0.278966,2.69,Male
97,0.298092,2.54,Male
98,0.315762,2.4,Male
99,0.33155,2.28,Male
100,0.348128,2.16,Male
101,0.365534,2.05,Male
102,0.383811,1.94,Male
103,0.403001,1.83,Male
104,0.423151,1.73,Male
105,0.444309,1.63,Male
106,0.466524,1.54,Male
107,0.489851,1.45,Male
108,0.514343,1.37,Male
109,0.54006,1.28,Male
110,0.567063,1.21,Male
111,0.595417,1.13,Male
112,0.625187,1.06,Male
113,0.656447,0.99,Male
114,0.689269,0.92,Male
115,0.723732,0.86,Male
116,0.759919,0.8,Male
117,0.797915,0.74,Male
118,0.837811,0.68,Male
119,0.879701,0.63,Male
0,0.005046,81.28,Female
1,0.000349,80.69,Female
2,0.000212,79.72,Female
3,0.000166,78.73,Female
4,0.000137,77.75,Female
5,0.000122,76.76,Female
6,0.000111,75.77,Female
7,0.000103,74.77,Female
8,0.000098,73.78,Female
9,0.000095,72.79,Female
10,0.000095,71.8,Female
11,0.000102,70.8,Female
12,0.000116,69.81,Female
13,0.000139,68.82,Female
14,0.00017,67.83,Female
15,0.000204,66.84,Female
16,0.00024,65.85,Female
17,0.000278,64.87,Female
18,0.000319,63.89,Female
19,0.00036,62.91,Female
20,0.000405,61.93,Female
21,0.000451,60.95,Female
22,0.000491,59.98,Female
23,0.000523,59.01,Female
24,0.000549,58.04,Female
25,0.000574,57.07,Female
26,0.000604,56.11,Female
27,0.000642,55.14,Female
28,0.00069,54.17,Female
29,0.000748,53.21,Female
30,0.00081,52.25,Female
31,0.000871,51.29,Female
32,0.000931,50.34,Female
33,0.000988,49.38,Female
34,0.001044,48.43,Female
35,0.001105,47.48,Female
36,0.001171,46.53,Female
37,0.001235,45.59,Female
38,0.001295,44.64,Female
39,0.001356,43.7,Female
40,0.001422,42.76,Female
41,0.001501,41.82,Female
42,0.001596,40.88,Female
43,0.001709,39.95,Female
44,0.001841,39.01,Female
45,0.001989,38.08,Female
46,0.002153,37.16,Female
47,0.002333,36.24,Female
48,0.00253,35.32,Female
49,0.002746,34.41,Female
50,0.002981,33.5,Female
51,0.003241,32.6,Female
52,0.00353,31.71,Female
53,0.003853,30.82,Female
54,0.004208,29.93,Female
55,0.004591,29.06,Female
56,0.004997,28.19,Female
57,0.005426,27.33,Female
58,0.005876,26.48,Female
59,0.006348,25.63,Female
60,0.006883,24.79,Female
61,0.007457,23.96,Female
62,0.00801,23.14,Female
63,0.00852,22.32,Female
64,0.009031,21.51,Female
65,0.009617,20.7,Female
66,0.010328,19.89,Female
67,0.011167,19.1,Female
68,0.012158,18.31,Female
69,0.013312,17.52,Female
70,0.014673,16.75,Female
71,0.016221,16,Female
72,0.017905,15.25,Female
73,0.019714,14.52,Female
74,0.021714,13.8,Female
75,0.02408,13.1,Female
76,0.026831,12.41,Female
77,0.029855,11.74,Female
78,0.033151,11.08,Female
79,0.036829,10.45,Female
80,0.041122,9.83,Female
81,0.046102,9.23,Female
82,0.051683,8.65,Female
83,0.057896,8.09,Female
84,0.064863,7.56,Female
85,0.072731,7.05,Female
86,0.081626,6.56,Female
87,0.091644,6.1,Female
88,0.10284,5.67,Female
89,0.115236,5.26,Female
90,0.128837,4.88,Female
91,0.143633,4.52,Female
92,0.159606,4.2,Female
93,0.176731,3.9,Female
94,0.194973,3.63,Female
95,0.213413,3.39,Female
96,0.231752,3.17,Female
97,0.249663,2.98,Female
98,0.266801,2.81,Female
99,0.282809,2.65,Female
100,0.299778,2.49,Female
101,0.317765,2.34,Female
102,0.33683,2.2,Female
103,0.35704,2.07,Female
104,0.378463,1.94,Female
105,0.40117,1.82,Female
106,0.425241,1.7,Female
107,0.450755,1.59,Female
108,0.4778,1.48,Female
109,0.506468,1.38,Female
110,0.536857,1.28,Female
111,0.569068,1.19,Female
112,0.603212,1.1,Female
113,0.639405,1.02,Female
114,0.677769,0.94,Female
115,0.718435,0.87,Female
116,0.759919,0.8,Female
117,0.797915,0.74,Female
118,0.837811,0.68,Female
119,0.879701,0.63,Female
